date,price_btc,ma7_btc,ma30_btc,price_eth,ma7_eth,ma30_eth
2025-03-01,84441.9012237131,89442.18777237461,95835.43968439811,2235.204208609,2493.762799256471,2708.4852427289165
2025-03-02,86005.2562968102,87933.77379436146,95209.5644439581,2212.824351497,2414.972673269714,2673.97107163374
2025-03-03,94261.5328653844,87638.64090494804,94938.86906956353,2517.3382391623,2370.7089347946144,2648.00265844436
2025-03-04,86124.7141872217,86885.49052179362,94453.8666216226,2148.1995334702,2320.0083795619857,2615.44135355563
2025-03-05,87310.8053107829,86679.0670896629,94111.94958097374,2171.496943535,2273.7485926822715,2592.40133104441
2025-03-06,90604.0809852364,87636.77652108976,93749.85692495816,2241.3841149187,2261.681475570743,2571.1870074100366
2025-03-07,90001.4008760704,88392.81310645989,93479.28898027235,2202.3207363495,2246.9668753631,2553.2516660791534
2025-03-08,86773.3359755537,88725.87521386567,93152.3039518178,2140.7498089429,2233.4733896965145,2531.5915876797303
2025-03-09,86142.9833586432,88745.55050841325,92802.55610532849,2199.9995000806,2231.6412680656,2515.3694937892933
2025-03-10,80751.138933009,86815.4942323596,92275.64552610657,2017.2654601843,2160.2022996401715,2495.1633190693533
2025-03-11,78783.9405793426,85766.81228837688,91683.16895791763,1879.1231054991,2121.762809930014,2469.947384525913
2025-03-12,82799.1080292053,85122.28410529437,91224.85327043128,1921.3099227587,2086.0218069619714,2446.2398545493634
2025-03-13,83884.2457882899,84162.30764858774,90774.3287429132,1910.6551381032,2038.7748102740427,2421.2517991646832
2025-03-14,81098.9005243623,82890.521884058,90286.2928480322,1862.794936649,1990.2711246025428,2396.5771847261535
2025-03-15,83971.7091606463,82490.28948192837,89824.1435346779,1910.6662703455,1957.402047660057,2369.0570499508967
2025-03-16,84391.6908764717,82240.10484161814,89418.47776392369,1939.7856881721,1920.228645958843,2344.526272866506
2025-03-17,82610.6175034392,82505.74463739389,88922.5489645262,1887.7643429693,1901.7284863567,2316.6294231792367
2025-03-18,84075.3655969447,83261.66249705134,88472.72942794752,1929.1833577619,1908.8799509656712,2291.174822225087
2025-03-19,82780.0304868827,83258.93713386239,88027.08549568293,1932.7964059051,1910.520877129443,2266.93797750828
2025-03-20,86815.441094707,83677.67932049341,87728.3949575556,2060.7286010683,1931.9599432673144,2244.2320948740366
2025-03-21,84270.8435896623,84130.8140441077,87354.2266927779,1980.8317805246,1948.8223495352572,2221.2766708685367
2025-03-22,84009.532917822,84136.21743798994,86936.04873795221,1964.5293833168,1956.5170799597286,2196.2675890966934
2025-03-23,83793.3085419255,84050.73424734049,86449.68177660296,1979.5449257666,1962.1969710446572,2170.8659745355967
2025-03-24,85787.7091490177,84504.60448242314,86104.76690113512,2001.0470230952,1978.3802110626432,2148.955972162373
2025-03-25,87327.7296966908,84969.227925244,85796.8860862614,2077.739325832,1999.6024922155143,2126.0687752432964
2025-03-26,87520.5839153056,85646.44984359013,85503.32344706231,2068.5984350491,2019.0027820932285,2100.7825761286667
2025-03-27,86960.8555491039,85667.2233370754,85355.459736389,2009.8835432902,2011.7392024106427,2084.3419135683866
2025-03-28,87227.2715803237,86089.57019288417,85304.50981120988,2003.3034241292,2014.9494372113002,2067.9415126495933
2025-03-29,84359.4691550601,86139.56108391819,85319.82161753693,1896.917360046,2005.2905767440427,2053.6436268278135
2025-03-30,82679.1725538505,85980.39879990746,85252.15587671596,1829.2745211803,1983.8233760888572,2037.7753462737232
2025-03-31,82356.3811118376,85490.2090803103,85182.63853965345,1805.3378779436,1955.8649267814858,2023.4464685848766
2025-04-01,82514.0936539785,84802.54678849426,85066.26645155906,1824.207136761,1919.6460426284855,2010.4925614270098
2025-04-02,85237.5876052852,84476.40445849136,84765.46827622241,1907.1671522994,1896.5844308070998,1990.1535251982466
2025-04-03,82526.4221526433,83842.91397328269,84645.52520840314,1795.7618505675,1865.995617561,1978.4056024348235
2025-04-04,83163.9875738772,83262.44482950462,84507.29795050627,1818.2844199542,1839.5643312502857,1966.6318516487966
2025-04-05,83852.0076539959,83189.9503293526,84282.22883946492,1814.480775345,1827.7876762929998,1952.4017403296734
2025-04-06,83595.8855017749,83320.90932191323,84068.71166032174,1809.9358271722,1825.0250057204144,1939.3222433570966
2025-04-07,78211.4835819999,82728.78110336499,83783.3165805366,1574.6321611456,1792.0670461778427,1920.4516550971866
2025-04-08,79179.2922675778,82252.38090530773,83551.19354416776,1555.9098125709,1753.7388570078285,1898.9819988468632
2025-04-09,76329.090356324,80979.73844117043,83403.79192494493,1471.3608854366,1691.4808188845714,1880.7851796886066
2025-04-10,82622.170295463,80993.41674728753,83531.73291548228,1662.5331604642,1672.4481488698145,1873.5655148541098
2025-04-11,79596.3573225077,80483.75528280616,83424.97455859235,1523.9286242425,1630.3973209109997,1860.3194715702366
2025-04-12,83439.2881804376,80424.79535801212,83410.14263833062,1568.1316901259,1595.2045944511285,1848.9020233043266
2025-04-13,85305.0972839267,80668.96846974808,83550.34919698276,1645.8625733156,1571.7655581858999,1841.6709445265467
2025-04-14,83600.8201005454,81438.87368668316,83537.98622831273,1595.4227460001,1574.7356417365427,1831.1628270483668
2025-04-15,84523.4524914945,82202.32514724271,83542.37828214683,1621.5431955967,1584.1118393116571,1820.55474396252
2025-04-16,83656.4924885804,83249.09688042219,83577.24078165153,1587.8222244021,1600.7491734495854,1810.5566733436133
2025-04-17,84105.779421671,83461.04104130904,83578.25457580907,1577.707351676,1588.6312007655572,1798.8408064740831
2025-04-18,84930.90857601,84223.11979180937,83649.95051211333,1583.4764497002,1597.1380329738001,1787.1968079339201
2025-04-19,84433.7501721539,84365.185790626,83570.56081469488,1589.1516208271,1600.1408802168282,1771.4775752592134
2025-04-20,85126.6624430184,84339.69509906766,83599.08810980675,1615.0502549159,1595.739120445443,1759.2848577389232
2025-04-21,85073.165448581,84550.03014878703,83634.54252749872,1585.4600253443,1594.3158746374716,1746.6492124731733
2025-04-22,87452.0469906829,84968.40079152824,83756.50047579064,1577.4465595922,1588.0163552082572,1733.2459336006932
2025-04-23,93576.1658857398,86385.49699112242,84016.11570034803,1759.7064599311,1612.5712459981144,1725.2012481618901
2025-04-24,93605.4523087321,87742.59311784545,84225.37312074941,1793.9698494855,1643.4658885423285,1715.7422656170065
2025-04-25,93872.8142286729,89020.008211083,84437.11413119499,1769.3925107354,1670.0253258330715,1705.76873480655
2025-04-26,94773.1120064354,90497.05990169464,84697.52267977272,1788.7981804331,1698.546262919643,1698.3992227113133
2025-04-27,94644.0663712011,91856.68903429217,84944.74917280195,1821.2695303291,1728.0061594072429,1692.33142625131
2025-04-28,93809.3378196822,93104.71365873519,85259.74479495602,1793.691844073,1757.7535620827714,1688.8905757188766
2025-04-29,95030.6064547444,94187.36501074399,85671.45925831916,1799.501914492,1789.4757556398856,1687.8981554959332
2025-04-30,94256.3594631806,94284.53552180695,86068.12520336392,1796.9720456769,1794.7994107464287,1687.6192944203765
2025-05-01,94235.7533104817,94374.57852205691,86458.84719191403,1794.0495408618,1794.8107952287573,1686.6140412237366
2025-05-02,96426.9452227303,94739.45437835083,86831.8257791622,1838.8543285926,1804.7339120655,1684.3369471001768
2025-05-03,96855.5681343944,95036.94811091639,87309.4639785539,1841.427590837,1812.2523992660572,1685.8591384424933
2025-05-04,95922.8684240442,95219.6341184654,87734.7600068928,1834.5019118764,1814.1427394871,1686.399721506567
2025-05-05,94326.6204852925,95293.53164212403,88083.91376793601,1808.1560938441,1816.2090608829715,1686.18889878987
2025-05-06,94758.8237105546,95254.70553581117,88456.01170822867,1820.0044598894,1819.1379959397432,1686.5245198804434
2025-05-07,96854.5319881588,95625.8730393795,89077.44665510065,1816.1686943818,1821.8803743261572,1694.5757376549834
2025-05-08,97026.493769668,96024.55024783469,89672.35337183699,1810.3169269284,1824.2042866213856,1703.0559748002333
2025-05-09,103076.2755551293,96974.45458103453,90563.92621179715,2197.5611893239,1875.4481238687144,1727.2626515964766
2025-05-10,102962.540456923,97846.87919853862,91241.9385505125,2341.4079630026,1946.873891320943,1749.89181168109
2025-05-11,104630.8792994166,99090.88075216326,92076.42261640946,2583.682905143,2053.899747501886,1785.2169543777734
2025-05-12,103994.061616746,100471.94377094231,92761.58173095305,2507.4693107597,2153.8016356326857,1816.5282083989
2025-05-13,102876.8304286011,101631.65901637754,93347.3061691089,2492.4263910774,2249.8619115166853,1844.7470023242934
2025-05-14,104184.4903927074,102678.79593131306,94033.42851218095,2676.6391631279,2372.7862641947,1880.7875495618866
2025-05-15,103594.4257509071,103617.07192863293,94669.12762082803,2603.71808872,2486.129287307786,1913.5267126659965
2025-05-16,103708.8513642364,103707.43990136251,95337.53958334989,2542.2966924668,2535.3772163282,1945.3425282681533
2025-05-17,103556.0349398245,103792.22482749131,95985.88143395502,2544.3870377236,2564.3742270026282,1977.56518446974
2025-05-18,103212.364838855,103589.57990455393,96595.26330938317,2475.0543933697,2548.8558681778713,2007.2844492587235
2025-05-19,106030.6376831359,103880.51934260964,97315.15955974926,2465.3409856139,2542.837536014186,2036.4907614182835
2025-05-20,105629.4158043669,104273.7458248619,97998.5846717942,2526.9896438913,2547.7751435590285,2066.888741050797
2025-05-21,106786.7199583404,104645.4929056666,98722.36982211952,2524.2743433146,2526.0087407285573,2098.182551649807
2025-05-22,109665.8637162526,105512.84118643023,99462.8303796385,2558.9502343769,2519.613332965257,2130.8993408092965
2025-05-23,111560.356938144,106634.48483984561,100062.30341471866,2657.1674447566,2536.023440435228,2160.8147069701467
2025-05-24,107216.6685687062,107157.43250111442,100516.01062338446,2519.8138090451,2532.5129791954428,2185.0095056221335
2025-05-25,107831.3637438038,107817.28948753569,100981.29560722216,2529.4429842284,2540.282777889543,2210.3445214052335
2025-05-26,108861.8103774433,108221.7427295796,101450.91888625575,2546.6201163371,2551.894082278571,2235.6052526020335
2025-05-27,109377.7151326313,108757.2140621888,101942.04051163675,2562.1729286392,2556.920265813986,2260.3020325457037
2025-05-28,109068.4569490144,109083.17648942795,102450.67781594783,2662.0940568241,2576.6087963153427,2289.24877297074
2025-05-29,107838.1843110015,108822.07943153493,102877.59707782305,2676.2674124507,2593.3683931830283,2318.4742895693635
2025-05-30,105745.4166035804,107991.37366945444,103260.56564916973,2633.1392065287,2589.9357877219,2346.3465282644233
2025-05-31,104010.9195624264,107533.40952570015,103586.40452423455,2524.4762348051,2590.601848544757,2370.6940847292
2025-06-01,104687.5074293488,107084.28719506373,103861.7565977885,2532.3627853091,2591.018962984857,2393.8110332864167
2025-06-02,105710.0059382282,106634.02941803301,104156.90452458296,2538.3300584367,2589.834668999086,2417.04111553974
2025-06-03,105884.7426322115,106135.03334654446,104488.96699818852,2609.7372539594,2596.629572616257,2442.8822936091733
